UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1721218778;934125;1000169064749198208;63856822778142;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934145;1000169064849235398;63856822778150;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934165;1000169064949269957;63856822778150;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934185;1000169065049310907;63856822778150;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934205;1000169065149348954;63856822778150;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934225;1000169065249384574;63856822778267;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934245;1000169065349426353;63856822778367;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934265;1000169065449465508;63856822778467;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934285;1000169065549502550;63856822778574;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934305;1000169065649537205;63856822778641;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934325;1000169065749577468;63856822778753;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934345;1000169065849615993;63856822778841;(-0.523, 0.753, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218778;934365;1000169065949651295;63856822778952;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934384;1000169066044691412;63856822779042;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934404;1000169066144730867;63856822779153;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934424;1000169066244767632;63856822779242;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934444;1000169066344810574;63856822779354;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934464;1000169066444851062;63856822779441;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934484;1000169066544888383;63856822779552;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934504;1000169066644923614;63856822779641;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934524;1000169066744965131;63856822779753;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934544;1000169066845004323;63856822779839;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218779;934564;1000169066945041667;63856822779956;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218780;934584;1000169067045084593;63856822780043;(-0.523, 0.752, 1.732);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218780;934604;1000169067145124524;63856822780152;(-0.523, 0.752, 1.733);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218780;934624;1000169067245162738;63856822780240;(-0.523, 0.752, 1.732);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1721218780;934644;1000169067345197811;63856822780338;(-0.523, 0.752, 1.732);(0.022, 0.159, -0.003, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
